#source_current_uA,range_idx,measured_uA,adc_value
53.465346535,2,51.707539520,-271085
55.445544554,2,53.646326466,-281256
57.425742574,2,55.591564484,-291460
59.405940594,2,57.530001812,-301625
61.386138614,2,59.476208839,-311828
63.366336634,2,61.414454231,-321970
65.346534653,2,63.359228840,-332176
67.326732673,2,65.298050766,-342350
69.306930693,2,67.242643185,-352542
71.287128713,2,69.180695496,-362708
73.267326733,2,71.125288754,-372893
75.247524752,2,73.064335365,-383072
77.227722772,2,75.008806667,-393246
79.207920792,2,76.945317574,-403421
81.188118812,2,78.889513416,-413610
83.168316832,2,80.826784115,-423767
85.148514851,2,82.769766216,-433948
87.128712871,2,84.705932388,-444100
89.108910891,2,86.647765007,-454286
91.089108911,2,88.584008121,-464432
93.069306931,2,90.525691051,-474620
95.049504950,2,92.460308819,-484760
97.029702970,2,94.401552677,-494947
99.009900990,2,96.335995159,-505087
-9.900990099,3,-9.774868443,512467
-9.702970297,3,-9.581308208,502354
-9.504950495,3,-9.387676508,492188
-9.306930693,3,-9.194192879,482023
-9.108910891,3,-8.999910921,471806
-8.910891089,3,-8.806263609,461710
-8.712871287,3,-8.612807148,451562
-8.514851485,3,-8.419257078,441405
-8.316831683,3,-8.225563976,431251
-8.118811881,3,-8.031178802,421072
-7.920792079,3,-7.837568581,410902
-7.722772277,3,-7.643911211,400765
-7.524752475,3,-7.450270800,390592
-7.326732673,3,-7.255761883,380403
-7.128712871,3,-7.062098867,370233
-6.930693069,3,-6.868439034,360118
-6.732673267,3,-6.674721807,349941
-6.534653465,3,-6.480885612,339783
-6.336633663,3,-6.286582724,329610
-6.138613861,3,-6.092937500,319440
-5.940594059,3,-5.899108446,309276
-5.742574257,3,-5.705440096,299120
-5.544554455,3,-5.511033382,288948
-5.346534653,3,-5.317287134,278775
-5.148514851,3,-5.123518888,268629
-4.950495050,3,-4.928350391,258372
-4.752475248,3,-4.734619326,248258
-4.554455446,3,-4.540844732,238066
-4.356435644,3,-4.346965399,227890
-4.158415842,3,-4.152460718,217724
-3.960396040,3,-3.958754145,207568
-3.762376238,3,-3.764958672,197390
-3.564356436,3,-3.571078632,187240
-3.366336634,3,-3.377327219,177070
-3.168316832,3,-3.182843691,166859
-2.970297030,3,-2.989127506,156705
-2.772277228,3,-2.795384138,146549
-2.574257426,3,-2.601746557,136409
-2.376237624,3,-2.407272245,126208
-2.178217822,3,-2.213454308,116069
-1.980198020,3,-2.019717264,105879
-1.782178218,3,-1.825969111,95722
-1.584158416,3,-1.632205973,85571
-1.386138614,3,-1.437570913,75382
-1.188118812,3,-1.243845100,65184
-0.990099010,3,-1.050114242,55063
-0.792079208,3,-0.856378090,44902
-0.594059406,3,-0.661777438,34699
-0.396039604,3,-0.468073904,24511
-0.198019802,3,-0.274334242,14382
0.000000000,3,-0.080570063,4219
0.198019802,3,0.113834250,-5989
0.396039604,3,0.307605498,-16123
0.594059406,3,0.501310396,-26293
0.792079208,3,0.695025441,-36443
0.990099010,3,0.889422633,-46629
1.188118812,3,1.083197615,-56789
1.386138614,3,1.276918694,-66958
1.584158416,3,1.470679201,-77112
1.782178218,3,1.665122383,-87314
1.980198020,3,1.858815571,-97463
2.178217822,3,2.052471642,-107595
2.376237624,3,2.246278681,-117792
2.574257426,3,2.440657721,-127959
2.772277228,3,2.634365784,-138129
2.970297030,3,2.828049265,-148270
3.168316832,3,3.022376867,-158469
3.366336634,3,3.215921417,-168619
3.564356436,3,3.409510172,-178762
3.762376238,3,3.603134272,-188896
3.960396040,3,3.797304958,-199092
4.158415842,3,3.990918596,-209239
4.356435644,3,4.184506527,-219379
4.554455446,3,4.378177265,-229555
4.752475248,3,4.572579054,-239732
4.950495050,3,4.766109993,-249901
5.148514851,3,4.961072968,-260092
5.346534653,3,5.154671532,-270257
5.544554455,3,5.348049210,-280377
5.742574257,3,5.541633884,-290540
5.940594059,3,5.735714428,-300710
6.138613861,3,5.929200827,-310883
6.336633663,3,6.122583836,-321004
6.534653465,3,6.316685877,-331194
6.732673267,3,6.510117064,-341314
6.930693069,3,6.703510548,-351451
7.128712871,3,6.896841822,-361585
7.326732673,3,7.090904810,-371770
7.524752475,3,7.284402636,-381902
7.722772277,3,7.477695076,-392021
7.920792079,3,7.671022972,-402178
8.118811881,3,7.865063124,-412391
8.316831683,3,8.058573608,-422493
8.514851485,3,8.251574579,-432627
8.712871287,3,8.445494986,-442771
8.910891089,3,8.638854391,-452907
9.108910891,3,8.832035566,-463076
9.306930693,3,9.025060213,-473177
9.504950495,3,9.218816678,-483304
9.702970297,3,9.411901070,-493475
9.900990099,3,9.604711437,-503558
-0.990099010,4,-0.979934960,513712
-0.970297030,4,-0.960337629,503462
-0.950495050,4,-0.940696391,493214
-0.930693069,4,-0.922063949,483445
-0.910891089,4,-0.902426808,473157
-0.891089109,4,-0.882848486,462858
-0.871287129,4,-0.863203384,452581
-0.851485149,4,-0.843623365,442261
-0.831683168,4,-0.824915071,432471
-0.811881188,4,-0.805331102,422178
-0.792079208,4,-0.785685340,411897
-0.772277228,4,-0.766109475,401615
-0.752475248,4,-0.746437744,391311
-0.732673267,4,-0.727787591,381563
-0.712871287,4,-0.708128147,371243
-0.693069307,4,-0.688543254,361012
-0.673267327,4,-0.668875827,350696
-0.653465347,4,-0.649216262,340369
-0.633663366,4,-0.630570493,330590
-0.613861386,4,-0.610982432,320331
-0.594059406,4,-0.591319436,309970
-0.574257426,4,-0.571655972,299696
-0.554455446,4,-0.552064756,289430
-0.534653465,4,-0.533418512,279683
-0.514851485,4,-0.513746525,269349
-0.495049505,4,-0.494156176,259057
-0.475247525,4,-0.474495095,248754
-0.455445545,4,-0.454832312,238470
-0.435643564,4,-0.436165827,228641
-0.415841584,4,-0.416573869,218394
-0.396039604,4,-0.396909205,208109
-0.376237624,4,-0.377232734,197749
-0.356435644,4,-0.357640809,187522
-0.336633663,4,-0.338989803,177764
-0.316831683,4,-0.319321590,167376
-0.297029703,4,-0.299653031,157100
-0.277227723,4,-0.280058629,146824
-0.257425743,4,-0.260396642,136530
-0.237623762,4,-0.241748125,126726
-0.217821782,4,-0.222078416,116453
-0.198019802,4,-0.202487681,106219
-0.178217822,4,-0.182823272,95810
-0.158415842,4,-0.163230112,85568
-0.138613861,4,-0.144491282,75746
-0.118811881,4,-0.124900934,65510
-0.099009901,4,-0.105238680,55172
-0.079207921,4,-0.085646450,44897
-0.059405941,4,-0.065969710,34606
-0.039603960,4,-0.047319517,24810
-0.019801980,4,-0.027656306,14520
0.000000000,4,-0.008068008,4249
0.019801980,4,0.011596550,-6109
0.039603960,4,0.031255180,-16384
0.059405941,4,0.049905826,-26162
0.079207921,4,0.069494540,-36437
0.099009901,4,0.089157849,-46770
0.118811881,4,0.108821728,-57044
0.138613861,4,0.128478809,-67364
0.158415842,4,0.147148406,-77119
0.178217822,4,0.166727851,-87433
0.198019802,4,0.186387515,-97691
0.217821782,4,0.206045503,-108000
0.237623762,4,0.225645243,-118280
0.257425743,4,0.244288693,-128086
0.277227723,4,0.263945728,-138372
0.297029703,4,0.283600479,-148696
0.316831683,4,0.303182798,-158950
0.336633663,4,0.322832669,-169245
0.356435644,4,0.341475404,-179011
0.376237624,4,0.361119774,-189312
0.396039604,4,0.380774842,-199611
0.415841584,4,0.400340953,-209879
0.435643564,4,0.419996542,-220159
0.455445545,4,0.438629302,-229942
0.475247525,4,0.458273080,-240268
0.495049505,4,0.477841367,-250525
0.514851485,4,0.497483107,-260801
0.534653465,4,0.517132431,-271163
0.554455446,4,0.535774194,-280902
0.574257426,4,0.555338748,-291184
0.594059406,4,0.574960352,-301455
0.613861386,4,0.594595991,-311737
0.633663366,4,0.614244393,-322037
0.653465347,4,0.632851661,-331769
0.673267327,4,0.652411454,-342079
0.693069307,4,0.672045877,-352353
0.712871287,4,0.691668140,-362606
0.732673267,4,0.711218329,-372887
0.752475248,4,0.729835084,-382661
0.772277228,4,0.749484733,-392965
0.792079208,4,0.769077256,-403245
0.811881188,4,0.788619947,-413408
0.831683168,4,0.808243296,-423732
0.851485149,4,0.826844205,-433494
0.871287129,4,0.846449874,-443764
0.891089109,4,0.866056192,-454074
0.910891089,4,0.885595553,-464270
0.930693069,4,0.905197965,-474554
0.950495050,4,0.923780719,-484303
0.970297030,4,0.943368763,-494592
0.990099010,4,0.962897651,-504827
-0.099009901,5,-0.097888944,513273
-0.097029703,5,-0.095927165,502945
-0.095049505,5,-0.093965742,492593
-0.093069307,5,-0.092004960,482299
-0.091089109,5,-0.090051488,472143
-0.089108911,5,-0.088089436,461877
-0.087128713,5,-0.086127396,451510
-0.085148515,5,-0.084164869,441297
-0.083168317,5,-0.082210399,431025
-0.081188119,5,-0.080247218,420813
-0.079207921,5,-0.078285036,410405
-0.077227723,5,-0.076329879,400221
-0.075247525,5,-0.074367195,390049
-0.073267327,5,-0.072403123,379560
-0.071287129,5,-0.070440127,369195
-0.069306931,5,-0.068484626,359075
-0.067326733,5,-0.066522303,348766
-0.065346535,5,-0.064558646,338539
-0.063366337,5,-0.062595752,328205
-0.061386139,5,-0.060640565,317950
-0.059405941,5,-0.058677274,307594
-0.057425743,5,-0.056713137,297387
-0.055445545,5,-0.054749708,287075
-0.053465347,5,-0.052794002,276798
-0.051485149,5,-0.050830681,266421
-0.049504950,5,-0.049848914,261296
-0.047524752,5,-0.047883829,251109
-0.045544554,5,-0.045927768,240784
-0.043564356,5,-0.043964301,230517
-0.041584158,5,-0.042000827,220147
-0.039603960,5,-0.040036027,209860
-0.037623762,5,-0.038080230,199674
-0.035643564,5,-0.036116598,189337
-0.033663366,5,-0.034152739,179011
-0.031683168,5,-0.032188575,168793
-0.029702970,5,-0.030232791,158530
-0.027722772,5,-0.028269455,148363
-0.025742574,5,-0.026305682,137958
-0.023762376,5,-0.024349350,127666
-0.021782178,5,-0.022385958,117317
-0.019801980,5,-0.020422079,107238
-0.017821782,5,-0.018458438,96841
-0.015841584,5,-0.016500896,86512
-0.013861386,5,-0.014537357,76304
-0.011881188,5,-0.012573865,65984
-0.009900990,5,-0.010610669,55541
-0.007920792,5,-0.008652993,45365
-0.005940594,5,-0.006689392,35128
-0.003960396,5,-0.004726025,24797
-0.001980198,5,-0.002762435,14527
0.000000000,5,-0.000806236,4198
0.001980198,5,0.001156579,-6049
0.003960396,5,0.003120006,-16338
0.005940594,5,0.005083663,-26554
0.007920792,5,0.007038912,-36886
0.009900990,5,0.009002538,-47296
0.011881188,5,0.010965938,-57508
0.013861386,5,0.012930008,-67787
0.015841584,5,0.014885425,-78036
0.017821782,5,0.016850017,-88219
0.019801980,5,0.018813145,-98614
0.021782178,5,0.020776030,-108897
0.023762376,5,0.022739138,-119236
0.025742574,5,0.024695885,-129425
0.027722772,5,0.026658491,-139799
0.029702970,5,0.028621031,-149984
0.031683168,5,0.030583789,-160491
0.033663366,5,0.032538253,-170650
0.035643564,5,0.034500567,-180921
0.037623762,5,0.036462332,-191249
0.039603960,5,0.038424567,-201420
0.041584158,5,0.040386745,-211719
0.043564356,5,0.042340686,-221894
0.045544554,5,0.044301999,-232278
0.047524752,5,0.046263369,-242573
0.049504950,5,0.048226758,-252888
0.051485149,5,0.049207827,-257977
0.053465347,5,0.051160895,-268089
0.055445545,5,0.053121896,-278406
0.057425743,5,0.055082957,-288918
0.059405941,5,0.057044492,-299084
0.061386139,5,0.058997714,-309354
0.063366337,5,0.060958384,-319588
0.065346535,5,0.062918445,-329916
0.067326733,5,0.064878843,-340180
0.069306931,5,0.066831157,-350334
0.071287129,5,0.068790982,-360665
0.073267327,5,0.070750213,-371045
0.075247525,5,0.072710593,-381187
0.077227723,5,0.074670319,-391511
0.079207921,5,0.076622430,-401592
0.081188119,5,0.078581451,-411953
0.083168317,5,0.080539166,-422226
0.085148515,5,0.082497311,-432503
0.087128713,5,0.084447259,-442694
0.089108911,5,0.086405068,-453005
0.091089109,5,0.088363725,-463282
0.093069307,5,0.090320795,-473552
0.095049505,5,0.092277568,-483803
0.097029703,5,0.094226690,-494023
0.099009901,5,0.096182160,-504304
